timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776382764.6386013,0.0,0.0,0.0,0.0,0.0,0.0
1776382768.635085,0.0,0.0,0.0,0.0,0.0,0.0
1776382772.6466784,0.0,0.0,0.0,0.0,0.0,0.0
1776382776.6422803,0.0,0.0,0.0,0.0,0.0,0.0
1776382780.6535268,0.0,0.0,0.0,0.0,0.0,0.0
1776382784.699599,0.0,0.0,0.0,0.0,1.0,0.0
1776382788.6969314,0.0,0.0,0.0,0.0,1.0,0.0
1776382792.6976151,0.0,0.0,0.0,0.0,1.0,0.0
1776382796.6886916,0.0,0.0,0.0,0.0,1.0,0.0
1776382800.7289467,0.0,0.0,0.0,0.0,1.0,0.0
1776382804.7581835,0.0,0.0,0.0,0.0,1.0,0.0
1776382808.7607734,0.0,0.0,0.0,0.0,1.0,0.0
1776382812.7709494,0.0,0.0,0.0,0.0,1.0,0.0
1776382816.7650406,0.0,0.0,0.0,0.0,1.0,0.0
1776382820.7771816,0.0,0.0,0.0,0.0,1.0,0.0
1776382824.7868032,0.0,0.0,0.0,0.0,1.0,0.0
1776382828.7892685,0.0,0.0,0.0,0.0,1.0,0.0
1776382832.7777197,0.0,0.0,0.0,0.0,1.0,0.0
1776382836.790975,0.0,0.0,0.0,0.0,1.0,0.0
1776382840.8232102,0.0,0.0,0.0,0.0,1.0,0.0
1776382844.8434505,0.0,0.0,0.0,0.0,0.0,0.0
1776382848.8225784,0.0,0.0,0.0,0.0,0.0,0.0
1776382852.8726346,0.0,0.0,0.0,0.0,0.0,0.0
1776382856.8808324,0.0,0.0,0.0,0.0,0.0,0.0
1776382860.8700566,0.0,0.0,0.0,0.0,0.0,0.0
1776382864.9074526,0.0,0.0,0.0,0.0,0.0,0.0
1776382868.8950012,0.0,0.0,0.0,0.0,0.0,0.0
1776382872.8862195,0.0,0.0,0.0,0.0,0.0,0.0
1776382876.934624,0.0,0.0,0.0,0.0,0.0,0.0
1776382880.9193344,0.0,0.0,0.0,0.0,0.0,0.0
1776382884.9445775,0.0,0.0,0.0,0.0,0.0,0.0
1776382888.965148,0.0,0.0,0.0,0.0,0.0,0.0
1776382892.9673297,0.0,0.0,0.0,0.0,0.0,0.0
1776382897.0312955,0.0,0.0,0.0,0.0,0.0,0.0
1776382901.0396566,0.0,0.0,0.0,0.0,0.0,0.0
1776382905.0420234,0.0,0.0,0.0,0.0,0.0,0.0
1776382909.034936,0.0,0.0,0.0,0.0,0.0,0.0
